,State,Year,Quarter,Pincode,Transaction_count,Transaction_amount,Transaction_type
77,Andaman & Nicobar,2019,4,744301,1549,7056478.929,TOTAL
78,Andaman & Nicobar,2019,4,744201,886,946768.0636,TOTAL
79,Andaman & Nicobar,2019,4,744107,777,3030368.912,TOTAL
80,Andaman & Nicobar,2020,1,744101,11793,58229349.02,TOTAL
81,Andaman & Nicobar,2020,1,744103,5870,22009443.07,TOTAL
82,Andaman & Nicobar,2020,1,744105,4635,16774043.31,TOTAL
83,Andaman & Nicobar,2020,1,744102,3820,14517706.12,TOTAL
84,Andaman & Nicobar,2020,1,744211,1837,8425387.79,TOTAL
85,Andaman & Nicobar,2020,1,744301,1819,6901162.108,TOTAL
86,Andaman & Nicobar,2020,1,744202,1794,5037742.396,TOTAL
87,Andaman & Nicobar,2020,1,744104,1302,5293130.291,TOTAL
88,Andaman & Nicobar,2020,1,744201,1157,1242638.821,TOTAL
89,Andaman & Nicobar,2020,1,744107,1043,2990354.445,TOTAL
90,Andaman & Nicobar,2020,2,744101,11868,48293323.22,TOTAL
91,Andaman & Nicobar,2020,2,744103,10035,26197535.99,TOTAL
92,Andaman & Nicobar,2020,2,744105,9341,23203019.86,TOTAL
93,Andaman & Nicobar,2020,2,744102,6012,17786750.91,TOTAL
94,Andaman & Nicobar,2020,2,744202,3722,8924121.011,TOTAL
95,Andaman & Nicobar,2020,2,744107,2555,3980470.685,TOTAL
96,Andaman & Nicobar,2020,2,744301,2275,9055232.528,TOTAL
97,Andaman & Nicobar,2020,2,744211,2045,3319717.633,TOTAL
98,Andaman & Nicobar,2020,2,744205,1847,4459064.907,TOTAL
99,Andaman & Nicobar,2020,2,744104,1840,3334591.822,TOTAL
100,Andaman & Nicobar,2020,3,744101,24386,100439119.7,TOTAL
101,Andaman & Nicobar,2020,3,744103,21272,60332278.69,TOTAL
102,Andaman & Nicobar,2020,3,744105,17166,44061506.56,TOTAL
103,Andaman & Nicobar,2020,3,744102,13934,43077189.84,TOTAL
104,Andaman & Nicobar,2020,3,744202,5779,11975748.71,TOTAL
105,Andaman & Nicobar,2020,3,744107,4753,7628018.669,TOTAL
106,Andaman & Nicobar,2020,3,744104,3468,7353834.513,TOTAL
107,Andaman & Nicobar,2020,3,744112,3422,6067986.696,TOTAL
108,Andaman & Nicobar,2020,3,744301,3071,13352610.53,TOTAL
109,Andaman & Nicobar,2020,3,744205,2991,7535645.789,TOTAL
110,Andaman & Nicobar,2020,4,744103,46884,138264791.5,TOTAL
111,Andaman & Nicobar,2020,4,744101,40392,136401368,TOTAL
112,Andaman & Nicobar,2020,4,744105,34410,87838226.94,TOTAL
113,Andaman & Nicobar,2020,4,744102,26694,76348598.32,TOTAL
114,Andaman & Nicobar,2020,4,744202,10949,25543799.07,TOTAL
115,Andaman & Nicobar,2020,4,744107,9743,18083250.19,TOTAL
116,Andaman & Nicobar,2020,4,744104,7654,19126095.53,TOTAL
117,Andaman & Nicobar,2020,4,744112,7016,15890275.05,TOTAL
118,Andaman & Nicobar,2020,4,744205,5118,12002695.28,TOTAL
119,Andaman & Nicobar,2020,4,744201,5011,6777275.537,TOTAL
