State,Year,Quarter,Transaction_type,Transaction_count,Transaction_amount
dadra-&-nagar-haveli-&-daman-&-diu,2022,4,Peer-to-peer payments,2215052,5737539058
dadra-&-nagar-haveli-&-daman-&-diu,2022,4,Recharge & bill payments,548795,426040023.1
dadra-&-nagar-haveli-&-daman-&-diu,2022,4,Financial Services,2495,3169199.263
dadra-&-nagar-haveli-&-daman-&-diu,2022,4,Others,7472,3846409.106
dadra-&-nagar-haveli-&-daman-&-diu,2022,2,Merchant payments,3346697,1536859131
dadra-&-nagar-haveli-&-daman-&-diu,2022,2,Peer-to-peer payments,1861799,5078832141
dadra-&-nagar-haveli-&-daman-&-diu,2022,2,Recharge & bill payments,539562,372921225.4
dadra-&-nagar-haveli-&-daman-&-diu,2022,2,Financial Services,1849,2131607.723
dadra-&-nagar-haveli-&-daman-&-diu,2022,2,Others,9864,4415675.719
dadra-&-nagar-haveli-&-daman-&-diu,2022,3,Merchant payments,3777156,1705567002
dadra-&-nagar-haveli-&-daman-&-diu,2022,3,Peer-to-peer payments,2086741,5382949598
dadra-&-nagar-haveli-&-daman-&-diu,2022,3,Recharge & bill payments,592431,425206924.5
dadra-&-nagar-haveli-&-daman-&-diu,2022,3,Financial Services,2237,3194409.94
dadra-&-nagar-haveli-&-daman-&-diu,2022,3,Others,7056,3729425.463
dadra-&-nagar-haveli-&-daman-&-diu,2022,1,Merchant payments,2507246,1227972830
dadra-&-nagar-haveli-&-daman-&-diu,2022,1,Peer-to-peer payments,1745454,4674787018
dadra-&-nagar-haveli-&-daman-&-diu,2022,1,Recharge & bill payments,538134,326296370.8
dadra-&-nagar-haveli-&-daman-&-diu,2022,1,Financial Services,2574,2661345.553
dadra-&-nagar-haveli-&-daman-&-diu,2022,1,Others,9395,5330803.647
dadra-&-nagar-haveli-&-daman-&-diu,2019,4,Recharge & bill payments,351819,125809568.4
dadra-&-nagar-haveli-&-daman-&-diu,2019,4,Peer-to-peer payments,324464,1051976411
dadra-&-nagar-haveli-&-daman-&-diu,2019,4,Merchant payments,86758,45361559.24
dadra-&-nagar-haveli-&-daman-&-diu,2019,4,Financial Services,1019,267762.4906
dadra-&-nagar-haveli-&-daman-&-diu,2019,4,Others,4911,3225961.384
