,State,Year,Quarter,District,Transaction_count,Transaction_amount,Transaction_type
69,Andhra Pradesh,2018,1,kurnool district,679623,764905298.7,TOTAL
70,Andhra Pradesh,2018,1,chittoor district,830324,1009621878,TOTAL
71,Andhra Pradesh,2018,1,guntur district,815932,1108686589,TOTAL
72,Andhra Pradesh,2018,1,krishna district,863935,1284255180,TOTAL
73,Andhra Pradesh,2018,2,east godavari district,1221677,2168914928,TOTAL
74,Andhra Pradesh,2018,2,srikakulam district,559868,929392017.4,TOTAL
75,Andhra Pradesh,2018,2,spsr nellore district,780454,1542057934,TOTAL
76,Andhra Pradesh,2018,2,vizianagaram district,529588,811711367.5,TOTAL
77,Andhra Pradesh,2018,2,visakhapatnam district,1641192,2987853607,TOTAL
78,Andhra Pradesh,2018,2,prakasam district,739991,1571167562,TOTAL
79,Andhra Pradesh,2018,2,anantapur district,937023,1690366079,TOTAL
80,Andhra Pradesh,2018,2,ysr district,690842,1415500368,TOTAL
81,Andhra Pradesh,2018,2,west godavari district,786033,1688025212,TOTAL
82,Andhra Pradesh,2018,2,kurnool district,968439,1531888666,TOTAL
83,Andhra Pradesh,2018,2,chittoor district,1185723,1990419126,TOTAL
84,Andhra Pradesh,2018,2,guntur district,1088101,2108475812,TOTAL
85,Andhra Pradesh,2018,2,krishna district,1224987,2448141593,TOTAL
86,Andhra Pradesh,2018,3,east godavari district,3226907,3551247095,TOTAL
87,Andhra Pradesh,2018,3,srikakulam district,1073883,1318322237,TOTAL
88,Andhra Pradesh,2018,3,spsr nellore district,1308890,2215938596,TOTAL
89,Andhra Pradesh,2018,3,vizianagaram district,970132,1163546007,TOTAL
90,Andhra Pradesh,2018,3,visakhapatnam district,3394576,4821892253,TOTAL
91,Andhra Pradesh,2018,3,prakasam district,1319651,2346453445,TOTAL
92,Andhra Pradesh,2018,3,anantapur district,1815215,2681787750,TOTAL
93,Andhra Pradesh,2018,3,ysr district,1557444,2235904512,TOTAL
94,Andhra Pradesh,2018,3,west godavari district,1431282,2309078493,TOTAL
95,Andhra Pradesh,2018,3,kurnool district,2921189,2908389262,TOTAL
96,Andhra Pradesh,2018,3,chittoor district,2297429,3283517631,TOTAL
97,Andhra Pradesh,2018,3,guntur district,1912529,3127764663,TOTAL
98,Andhra Pradesh,2018,3,krishna district,2396934,3754202654,TOTAL
99,Andhra Pradesh,2018,4,east godavari district,3052762,4652624623,TOTAL
100,Andhra Pradesh,2018,4,srikakulam district,1252807,1870278610,TOTAL
101,Andhra Pradesh,2018,4,spsr nellore district,1814997,3293448557,TOTAL
102,Andhra Pradesh,2018,4,vizianagaram district,1386787,1817673253,TOTAL
103,Andhra Pradesh,2018,4,visakhapatnam district,4791421,7366635865,TOTAL
104,Andhra Pradesh,2018,4,prakasam district,1692862,3255254226,TOTAL
105,Andhra Pradesh,2018,4,anantapur district,2286391,3975878156,TOTAL
106,Andhra Pradesh,2018,4,ysr district,1732527,3252340063,TOTAL
107,Andhra Pradesh,2018,4,west godavari district,1688482,3237504255,TOTAL
108,Andhra Pradesh,2018,4,kurnool district,2508530,3626544852,TOTAL
109,Andhra Pradesh,2018,4,chittoor district,3166201,4979093890,TOTAL
110,Andhra Pradesh,2018,4,guntur district,2546620,4730251218,TOTAL
111,Andhra Pradesh,2018,4,krishna district,2839161,5416251838,TOTAL
112,Andhra Pradesh,2019,1,east godavari district,5440146,7382264725,TOTAL
113,Andhra Pradesh,2019,1,srikakulam district,2526855,3407912878,TOTAL
114,Andhra Pradesh,2019,1,spsr nellore district,3333584,5161932216,TOTAL
115,Andhra Pradesh,2019,1,vizianagaram district,2798241,3364576948,TOTAL
116,Andhra Pradesh,2019,1,visakhapatnam district,9690866,13459857441,TOTAL
117,Andhra Pradesh,2019,1,prakasam district,2931081,4807527779,TOTAL
118,Andhra Pradesh,2019,1,anantapur district,3891336,6044730653,TOTAL
119,Andhra Pradesh,2019,1,ysr district,2852197,4915811594,TOTAL
120,Andhra Pradesh,2019,1,west godavari district,2829437,4623764455,TOTAL
121,Andhra Pradesh,2019,1,kurnool district,4193432,5541564893,TOTAL
122,Andhra Pradesh,2019,1,chittoor district,6486813,8223371732,TOTAL
123,Andhra Pradesh,2019,1,guntur district,4846553,7765934169,TOTAL
124,Andhra Pradesh,2019,1,krishna district,5443981,9061346433,TOTAL
125,Andhra Pradesh,2019,2,east godavari district,4699261,9116404622,TOTAL
126,Andhra Pradesh,2019,2,srikakulam district,2019203,4066576540,TOTAL
127,Andhra Pradesh,2019,2,spsr nellore district,3141891,6880873007,TOTAL
128,Andhra Pradesh,2019,2,vizianagaram district,2272320,4443041665,TOTAL
129,Andhra Pradesh,2019,2,visakhapatnam district,11705738,20797479804,TOTAL
130,Andhra Pradesh,2019,2,prakasam district,2670529,6262396448,TOTAL
131,Andhra Pradesh,2019,2,anantapur district,3578836,7830782361,TOTAL
132,Andhra Pradesh,2019,2,ysr district,2606284,6376856828,TOTAL
133,Andhra Pradesh,2019,2,west godavari district,2402074,5676818259,TOTAL
134,Andhra Pradesh,2019,2,kurnool district,3895824,7358285187,TOTAL
135,Andhra Pradesh,2019,2,chittoor district,5983308,10982727976,TOTAL
136,Andhra Pradesh,2019,2,guntur district,5005275,10405246943,TOTAL
137,Andhra Pradesh,2019,2,krishna district,6428472,13437029116,TOTAL
138,Andhra Pradesh,2019,3,east godavari district,6537303,11387726471,TOTAL
139,Andhra Pradesh,2019,3,srikakulam district,2556296,4610131290,TOTAL
140,Andhra Pradesh,2019,3,spsr nellore district,4150195,8256600119,TOTAL
141,Andhra Pradesh,2019,3,vizianagaram district,2861581,4922069039,TOTAL
142,Andhra Pradesh,2019,3,visakhapatnam district,16694947,26944837120,TOTAL
143,Andhra Pradesh,2019,3,prakasam district,3430750,7354502261,TOTAL
144,Andhra Pradesh,2019,3,anantapur district,4889720,9554081289,TOTAL
145,Andhra Pradesh,2019,3,ysr district,3296586,7447544274,TOTAL
146,Andhra Pradesh,2019,3,west godavari district,3179541,6627629029,TOTAL
147,Andhra Pradesh,2019,3,kurnool district,5139134,9025632779,TOTAL
148,Andhra Pradesh,2019,3,chittoor district,8201783,13837455759,TOTAL
149,Andhra Pradesh,2019,3,guntur district,6942304,13075661264,TOTAL
150,Andhra Pradesh,2019,3,krishna district,8408474,16404073561,TOTAL
151,Andhra Pradesh,2019,4,east godavari district,9285739,16816774065,TOTAL
152,Andhra Pradesh,2019,4,srikakulam district,3712555,6832369302,TOTAL
153,Andhra Pradesh,2019,4,spsr nellore district,5877804,11786014089,TOTAL
154,Andhra Pradesh,2019,4,vizianagaram district,3998234,7175851807,TOTAL
155,Andhra Pradesh,2019,4,visakhapatnam district,23594874,39133296330,TOTAL
156,Andhra Pradesh,2019,4,prakasam district,4865473,10604077825,TOTAL
157,Andhra Pradesh,2019,4,anantapur district,6764112,13887248889,TOTAL
158,Andhra Pradesh,2019,4,ysr district,4793157,10865073856,TOTAL
159,Andhra Pradesh,2019,4,west godavari district,4596479,9710614747,TOTAL
160,Andhra Pradesh,2019,4,kurnool district,7001958,13233105729,TOTAL
161,Andhra Pradesh,2019,4,chittoor district,11246986,19298476028,TOTAL
162,Andhra Pradesh,2019,4,guntur district,9761330,18565626418,TOTAL
163,Andhra Pradesh,2019,4,krishna district,11719402,23039786404,TOTAL
164,Andhra Pradesh,2020,1,east godavari district,11346242,21854701379,TOTAL
165,Andhra Pradesh,2020,1,srikakulam district,4835092,9777575594,TOTAL
166,Andhra Pradesh,2020,1,spsr nellore district,7430247,15387829694,TOTAL
167,Andhra Pradesh,2020,1,vizianagaram district,5042066,9879174241,TOTAL
168,Andhra Pradesh,2020,1,visakhapatnam district,27115031,48809747615,TOTAL
169,Andhra Pradesh,2020,1,prakasam district,6318396,14169104765,TOTAL
170,Andhra Pradesh,2020,1,anantapur district,8466129,17864325753,TOTAL
171,Andhra Pradesh,2020,1,ysr district,6031255,14059924637,TOTAL
172,Andhra Pradesh,2020,1,west godavari district,5919670,12995834341,TOTAL
173,Andhra Pradesh,2020,1,kurnool district,8246869,17022710312,TOTAL
174,Andhra Pradesh,2020,1,chittoor district,13257740,23441848567,TOTAL
175,Andhra Pradesh,2020,1,guntur district,11493331,22992734621,TOTAL
176,Andhra Pradesh,2020,1,krishna district,12175289,24481702771,TOTAL
177,Andhra Pradesh,2020,2,east godavari district,13130334,26319906327,TOTAL
178,Andhra Pradesh,2020,2,srikakulam district,6425515,12153650077,TOTAL
179,Andhra Pradesh,2020,2,spsr nellore district,9454274,20665376461,TOTAL
180,Andhra Pradesh,2020,2,vizianagaram district,6690313,12819344390,TOTAL
181,Andhra Pradesh,2020,2,visakhapatnam district,25300401,48293889917,TOTAL
182,Andhra Pradesh,2020,2,prakasam district,8844580,19846026727,TOTAL
183,Andhra Pradesh,2020,2,anantapur district,10473739,22094006659,TOTAL
184,Andhra Pradesh,2020,2,ysr district,8033609,19597207268,TOTAL
185,Andhra Pradesh,2020,2,west godavari district,7273096,16585866855,TOTAL
186,Andhra Pradesh,2020,2,kurnool district,9821381,22419372062,TOTAL
187,Andhra Pradesh,2020,2,chittoor district,14848197,27361300300,TOTAL
188,Andhra Pradesh,2020,2,guntur district,12308707,27463593608,TOTAL
189,Andhra Pradesh,2020,2,krishna district,12313709,26964149095,TOTAL
190,Andhra Pradesh,2020,3,east godavari district,17972431,39300043805,TOTAL
191,Andhra Pradesh,2020,3,srikakulam district,8286289,18029574581,TOTAL
192,Andhra Pradesh,2020,3,spsr nellore district,16468209,39128324534,TOTAL
193,Andhra Pradesh,2020,3,vizianagaram district,8236703,17567816577,TOTAL
194,Andhra Pradesh,2020,3,visakhapatnam district,34421299,67628440368,TOTAL
195,Andhra Pradesh,2020,3,prakasam district,12266310,31221704852,TOTAL
196,Andhra Pradesh,2020,3,anantapur district,14447683,34102037973,TOTAL
197,Andhra Pradesh,2020,3,ysr district,11934653,32037007334,TOTAL
198,Andhra Pradesh,2020,3,west godavari district,10412351,25408608726,TOTAL
199,Andhra Pradesh,2020,3,kurnool district,13243292,32529351107,TOTAL
200,Andhra Pradesh,2020,3,chittoor district,20501863,42811566246,TOTAL
201,Andhra Pradesh,2020,3,guntur district,17601395,42531195810,TOTAL
202,Andhra Pradesh,2020,3,krishna district,19110457,44788458672,TOTAL
203,Andhra Pradesh,2020,4,east godavari district,25989490,58732615663,TOTAL
204,Andhra Pradesh,2020,4,srikakulam district,11092184,25222520275,TOTAL
205,Andhra Pradesh,2020,4,spsr nellore district,20934374,49115443663,TOTAL
206,Andhra Pradesh,2020,4,vizianagaram district,10580824,24094847668,TOTAL
207,Andhra Pradesh,2020,4,visakhapatnam district,46551467,91879823025,TOTAL
208,Andhra Pradesh,2020,4,prakasam district,16176867,41852443494,TOTAL
209,Andhra Pradesh,2020,4,anantapur district,20996384,49732610814,TOTAL
210,Andhra Pradesh,2020,4,ysr district,15676878,42572974713,TOTAL
211,Andhra Pradesh,2020,4,west godavari district,15674762,40310975763,TOTAL
212,Andhra Pradesh,2020,4,kurnool district,18737323,44718203115,TOTAL
213,Andhra Pradesh,2020,4,chittoor district,29590411,61505711150,TOTAL
214,Andhra Pradesh,2020,4,guntur district,26136538,60641872021,TOTAL
215,Andhra Pradesh,2020,4,krishna district,27981050,64461504668,TOTAL
216,Andhra Pradesh,2021,1,east godavari district,26190701,60027984988,TOTAL
217,Andhra Pradesh,2021,1,srikakulam district,11160473,26486623313,TOTAL
218,Andhra Pradesh,2021,1,spsr nellore district,22541428,52210333202,TOTAL
219,Andhra Pradesh,2021,1,vizianagaram district,10514582,24153782497,TOTAL
220,Andhra Pradesh,2021,1,visakhapatnam district,48248923,95308386038,TOTAL
221,Andhra Pradesh,2021,1,prakasam district,15175395,41396223622,TOTAL
222,Andhra Pradesh,2021,1,anantapur district,20102957,48353870395,TOTAL
223,Andhra Pradesh,2021,1,ysr district,15374473,42570919449,TOTAL
224,Andhra Pradesh,2021,1,west godavari district,16015685,42124030669,TOTAL
225,Andhra Pradesh,2021,1,kurnool district,17918524,44941629660,TOTAL
226,Andhra Pradesh,2021,1,chittoor district,29342609,60947491847,TOTAL
