,State,Year,Quarter,District,Transaction_count,Transaction_amount,Transaction_type
3353,Gujarat,2019,4,botad district,243788,283393816.3,TOTAL
3354,Gujarat,2019,4,bharuch district,1324720,2217755668,TOTAL
3355,Gujarat,2019,4,bhavnagar district,840951,1243923189,TOTAL
3356,Gujarat,2019,4,junagadh district,250823,403818838.9,TOTAL
3357,Gujarat,2019,4,mahesana district,1166283,1805374816,TOTAL
3358,Gujarat,2019,4,the dangs district,32377,41820330.86,TOTAL
3359,Gujarat,2019,4,kheda district,549665,786099096.3,TOTAL
3360,Gujarat,2019,4,surat district,4988183,9432189653,TOTAL
3361,Gujarat,2019,4,porbandar district,84880,176788698.8,TOTAL
3362,Gujarat,2019,4,gandhinagar district,2081714,2917516450,TOTAL
3363,Gujarat,2019,4,panch mahals district,350408,502433000.8,TOTAL
3364,Gujarat,2019,4,narmada district,100155,166344819.9,TOTAL
3365,Gujarat,2019,4,gir somnath district,228665,413778690,TOTAL
3366,Gujarat,2019,4,valsad district,1028011,1666399666,TOTAL
3367,Gujarat,2019,4,mahisagar district,125155,213139955.1,TOTAL
3368,Gujarat,2019,4,sabar kantha district,538864,825447358,TOTAL
3369,Gujarat,2019,4,tapi district,163136,246612300.1,TOTAL
3370,Gujarat,2019,4,vadodara district,2908059,5087285260,TOTAL
3371,Gujarat,2019,4,banas kantha district,1087381,1918665318,TOTAL
3372,Gujarat,2019,4,amreli district,310698,508142052.5,TOTAL
3373,Gujarat,2019,4,ahmadabad district,15696056,29657904578,TOTAL
3374,Gujarat,2019,4,dohad district,187238,342066810.7,TOTAL
3375,Gujarat,2019,4,navsari district,2986534,6831783125,TOTAL
3376,Gujarat,2019,4,patan district,541423,738645250.6,TOTAL
3377,Gujarat,2019,4,kachchh district,1023587,2070890492,TOTAL
3378,Gujarat,2019,4,surendranagar district,363831,570428007.5,TOTAL
3379,Gujarat,2019,4,morbi district,307509,583121237.1,TOTAL
3380,Gujarat,2020,1,anand district,1002410,1492005921,TOTAL
3381,Gujarat,2020,1,jamnagar district,535915,888291211.3,TOTAL
3382,Gujarat,2020,1,devbhumi dwarka district,163208,298422205.5,TOTAL
3383,Gujarat,2020,1,rajkot district,1339770,2664972202,TOTAL
3384,Gujarat,2020,1,aravallis district,346292,547983260.3,TOTAL
3385,Gujarat,2020,1,chhotaudepur district,105994,169035450.4,TOTAL
3386,Gujarat,2020,1,botad district,237947,320202835.5,TOTAL
3387,Gujarat,2020,1,bharuch district,1525995,2487359208,TOTAL
3388,Gujarat,2020,1,bhavnagar district,922982,1568995164,TOTAL
3389,Gujarat,2020,1,junagadh district,285216,460302223,TOTAL
3390,Gujarat,2020,1,mahesana district,1294012,2067093335,TOTAL
3391,Gujarat,2020,1,the dangs district,40179,49248105.1,TOTAL
3392,Gujarat,2020,1,kheda district,639593,955217779.8,TOTAL
3393,Gujarat,2020,1,surat district,6801887,13770083574,TOTAL
3394,Gujarat,2020,1,porbandar district,100021,201808374.9,TOTAL
3395,Gujarat,2020,1,gandhinagar district,2337267,3378567425,TOTAL
3396,Gujarat,2020,1,panch mahals district,448015,704353748.9,TOTAL
3397,Gujarat,2020,1,narmada district,125838,192670611.3,TOTAL
3398,Gujarat,2020,1,gir somnath district,270678,492504288,TOTAL
3399,Gujarat,2020,1,valsad district,1342508,2197272850,TOTAL
3400,Gujarat,2020,1,mahisagar district,154457,257181105.8,TOTAL
3401,Gujarat,2020,1,sabar kantha district,641078,998959107,TOTAL
3402,Gujarat,2020,1,tapi district,204716,303751079.9,TOTAL
3403,Gujarat,2020,1,vadodara district,3398524,5791008308,TOTAL
3404,Gujarat,2020,1,banas kantha district,1429235,2718891068,TOTAL
3405,Gujarat,2020,1,amreli district,327785,539247006.6,TOTAL
3406,Gujarat,2020,1,ahmadabad district,17950876,35559467148,TOTAL
3407,Gujarat,2020,1,dohad district,238828,449704484.8,TOTAL
3408,Gujarat,2020,1,navsari district,434441,632587168,TOTAL
3409,Gujarat,2020,1,patan district,594745,871002993.3,TOTAL
3410,Gujarat,2020,1,kachchh district,1305996,2617080219,TOTAL
3411,Gujarat,2020,1,surendranagar district,421057,680689639.5,TOTAL
3412,Gujarat,2020,1,morbi district,358952,669117520.7,TOTAL
3413,Gujarat,2020,2,anand district,903716,1293524621,TOTAL
3414,Gujarat,2020,2,jamnagar district,598458,945318108.8,TOTAL
3415,Gujarat,2020,2,devbhumi dwarka district,214944,320029310.7,TOTAL
3416,Gujarat,2020,2,rajkot district,1360781,2344811087,TOTAL
3417,Gujarat,2020,2,aravallis district,482363,680449750.2,TOTAL
3418,Gujarat,2020,2,chhotaudepur district,174739,212139861.3,TOTAL
3419,Gujarat,2020,2,botad district,378175,471813971.5,TOTAL
3420,Gujarat,2020,2,bharuch district,1673375,2438983131,TOTAL
3421,Gujarat,2020,2,bhavnagar district,1215195,1886223855,TOTAL
3422,Gujarat,2020,2,junagadh district,407623,572516201.8,TOTAL
3423,Gujarat,2020,2,mahesana district,1592579,2300168471,TOTAL
3424,Gujarat,2020,2,the dangs district,62526,62273325.91,TOTAL
3425,Gujarat,2020,2,kheda district,784245,1018713290,TOTAL
3426,Gujarat,2020,2,surat district,5654552,9378177063,TOTAL
3427,Gujarat,2020,2,porbandar district,134329,226224267.3,TOTAL
3428,Gujarat,2020,2,gandhinagar district,2039285,2913004124,TOTAL
3429,Gujarat,2020,2,panch mahals district,530453,752539616.4,TOTAL
3430,Gujarat,2020,2,narmada district,181581,226204689.2,TOTAL
3431,Gujarat,2020,2,gir somnath district,439795,683771357.3,TOTAL
3432,Gujarat,2020,2,valsad district,1498222,2040840946,TOTAL
3433,Gujarat,2020,2,mahisagar district,257444,374445950.7,TOTAL
3434,Gujarat,2020,2,sabar kantha district,816984,1232845329,TOTAL
3435,Gujarat,2020,2,tapi district,294426,365909712.1,TOTAL
3436,Gujarat,2020,2,vadodara district,2796615,4621695377,TOTAL
3437,Gujarat,2020,2,banas kantha district,1860625,3107051804,TOTAL
3438,Gujarat,2020,2,amreli district,554744,809297901.5,TOTAL
3439,Gujarat,2020,2,ahmadabad district,16430916,32731896547,TOTAL
3440,Gujarat,2020,2,dohad district,380381,634462423,TOTAL
3441,Gujarat,2020,2,navsari district,547410,658697480.6,TOTAL
3442,Gujarat,2020,2,patan district,759561,1054601005,TOTAL
3443,Gujarat,2020,2,kachchh district,1428844,2663558233,TOTAL
3444,Gujarat,2020,2,surendranagar district,590754,802465025.1,TOTAL
3445,Gujarat,2020,2,morbi district,374545,563192524.4,TOTAL
3446,Gujarat,2020,3,anand district,1069251,1753944279,TOTAL
3447,Gujarat,2020,3,jamnagar district,648790,1254572557,TOTAL
3448,Gujarat,2020,3,devbhumi dwarka district,211259,383470640.9,TOTAL
3449,Gujarat,2020,3,rajkot district,1490309,2995153085,TOTAL
3450,Gujarat,2020,3,aravallis district,482916,829207913,TOTAL
3451,Gujarat,2020,3,chhotaudepur district,164691,257637246.1,TOTAL
3452,Gujarat,2020,3,botad district,340537,531013247.4,TOTAL
3453,Gujarat,2020,3,bharuch district,2145954,3492190238,TOTAL
3454,Gujarat,2020,3,bhavnagar district,1245647,2274620369,TOTAL
3455,Gujarat,2020,3,junagadh district,424025,798846723.6,TOTAL
3456,Gujarat,2020,3,mahesana district,1898909,3469191791,TOTAL
3457,Gujarat,2020,3,the dangs district,61483,71541218.68,TOTAL
3458,Gujarat,2020,3,kheda district,852224,1355999687,TOTAL
3459,Gujarat,2020,3,surat district,7272097,14667802723,TOTAL
3460,Gujarat,2020,3,porbandar district,140684,291516188.4,TOTAL
3461,Gujarat,2020,3,gandhinagar district,2828558,4509986130,TOTAL
3462,Gujarat,2020,3,panch mahals district,625835,1108852901,TOTAL
3463,Gujarat,2020,3,narmada district,188013,281090742.7,TOTAL
3464,Gujarat,2020,3,gir somnath district,456851,926514793.7,TOTAL
3465,Gujarat,2020,3,valsad district,1743270,2801506603,TOTAL
3466,Gujarat,2020,3,mahisagar district,223755,410598224.9,TOTAL
3467,Gujarat,2020,3,sabar kantha district,978647,1639580053,TOTAL
3468,Gujarat,2020,3,tapi district,386709,640774933.3,TOTAL
3469,Gujarat,2020,3,vadodara district,4247473,7377577452,TOTAL
3470,Gujarat,2020,3,banas kantha district,2102221,4347810484,TOTAL
3471,Gujarat,2020,3,amreli district,505391,878846985.4,TOTAL
3472,Gujarat,2020,3,ahmadabad district,21769867,43364229619,TOTAL
3473,Gujarat,2020,3,dohad district,387675,774665435,TOTAL
3474,Gujarat,2020,3,navsari district,669646,1042130558,TOTAL
3475,Gujarat,2020,3,patan district,833224,1469939692,TOTAL
3476,Gujarat,2020,3,kachchh district,1762816,3715321888,TOTAL
3477,Gujarat,2020,3,surendranagar district,612549,1053748004,TOTAL
3478,Gujarat,2020,3,morbi district,518903,1151870078,TOTAL
3479,Gujarat,2020,4,anand district,1486151,2488003644,TOTAL
3480,Gujarat,2020,4,jamnagar district,852972,1746204268,TOTAL
3481,Gujarat,2020,4,devbhumi dwarka district,272466,564767075,TOTAL
3482,Gujarat,2020,4,rajkot district,1980653,4184580563,TOTAL
3483,Gujarat,2020,4,aravallis district,650966,1195080849,TOTAL
3484,Gujarat,2020,4,chhotaudepur district,231699,385900402.6,TOTAL
3485,Gujarat,2020,4,botad district,358762,637855285.7,TOTAL
3486,Gujarat,2020,4,bharuch district,3243841,5265465829,TOTAL
3487,Gujarat,2020,4,bhavnagar district,1454824,2860946802,TOTAL
3488,Gujarat,2020,4,junagadh district,528638,1081544206,TOTAL
3489,Gujarat,2020,4,mahesana district,2473227,4748375062,TOTAL
3490,Gujarat,2020,4,the dangs district,89994,115392051.6,TOTAL
3491,Gujarat,2020,4,kheda district,1146567,1924149445,TOTAL
3492,Gujarat,2020,4,surat district,10950779,22483338828,TOTAL
3493,Gujarat,2020,4,porbandar district,185255,409734586,TOTAL
3494,Gujarat,2020,4,gandhinagar district,3802536,6260558379,TOTAL
3495,Gujarat,2020,4,panch mahals district,861616,1522649649,TOTAL
3496,Gujarat,2020,4,narmada district,274158,401617563.1,TOTAL
3497,Gujarat,2020,4,gir somnath district,537782,1181991459,TOTAL
3498,Gujarat,2020,4,valsad district,2565319,4183435576,TOTAL
3499,Gujarat,2020,4,mahisagar district,302767,570736679.6,TOTAL
3500,Gujarat,2020,4,sabar kantha district,1339032,2451572619,TOTAL
3501,Gujarat,2020,4,tapi district,520631,841884252.8,TOTAL
3502,Gujarat,2020,4,vadodara district,6066452,10175864216,TOTAL
3503,Gujarat,2020,4,banas kantha district,2687464,5676878892,TOTAL
3504,Gujarat,2020,4,amreli district,564757,1075380722,TOTAL
3505,Gujarat,2020,4,ahmadabad district,25926518,50995692377,TOTAL
3506,Gujarat,2020,4,dohad district,522944,1028322590,TOTAL
3507,Gujarat,2020,4,navsari district,906395,1460927907,TOTAL
3508,Gujarat,2020,4,patan district,1121201,2091010410,TOTAL
3509,Gujarat,2020,4,kachchh district,2405892,5163742799,TOTAL
3510,Gujarat,2020,4,surendranagar district,802707,1519077044,TOTAL
3511,Gujarat,2020,4,morbi district,713582,1700378082,TOTAL
3512,Gujarat,2021,1,anand district,1585982,2723181549,TOTAL
3513,Gujarat,2021,1,jamnagar district,899501,1894971999,TOTAL
3514,Gujarat,2021,1,devbhumi dwarka district,263772,630081190.7,TOTAL
3515,Gujarat,2021,1,rajkot district,2278417,5057583315,TOTAL
3516,Gujarat,2021,1,aravallis district,655695,1314732516,TOTAL
3517,Gujarat,2021,1,chhotaudepur district,225606,452389275.4,TOTAL
3518,Gujarat,2021,1,botad district,367267,798953588,TOTAL
3519,Gujarat,2021,1,bharuch district,3420929,5756013891,TOTAL
3520,Gujarat,2021,1,bhavnagar district,1446583,3264511507,TOTAL
3521,Gujarat,2021,1,junagadh district,543809,1204237180,TOTAL
3522,Gujarat,2021,1,mahesana district,2587041,5454846786,TOTAL
3523,Gujarat,2021,1,the dangs district,83737,130412216.1,TOTAL
3524,Gujarat,2021,1,kheda district,1165033,2180336937,TOTAL
3525,Gujarat,2021,1,surat district,13429789,28261722803,TOTAL
3526,Gujarat,2021,1,porbandar district,184436,466162975.4,TOTAL
3527,Gujarat,2021,1,gandhinagar district,4275528,7290530767,TOTAL
3528,Gujarat,2021,1,panch mahals district,976434,1849730326,TOTAL
3529,Gujarat,2021,1,narmada district,268489,479844444.2,TOTAL
3530,Gujarat,2021,1,gir somnath district,575287,1368653768,TOTAL
3531,Gujarat,2021,1,valsad district,2745663,4775335084,TOTAL
3532,Gujarat,2021,1,mahisagar district,280340,582703615.8,TOTAL
3533,Gujarat,2021,1,sabar kantha district,1357102,2620770589,TOTAL
3534,Gujarat,2021,1,tapi district,612570,1114541038,TOTAL
3535,Gujarat,2021,1,vadodara district,7191021,11925964623,TOTAL
3536,Gujarat,2021,1,banas kantha district,2927080,6883945518,TOTAL
3537,Gujarat,2021,1,amreli district,513706,1123115019,TOTAL
3538,Gujarat,2021,1,ahmadabad district,36857358,68688129154,TOTAL
3539,Gujarat,2021,1,dohad district,548628,1226581748,TOTAL
3540,Gujarat,2021,1,navsari district,1022239,1773256368,TOTAL
3541,Gujarat,2021,1,patan district,1165681,2425828409,TOTAL
3542,Gujarat,2021,1,kachchh district,2664604,6036765373,TOTAL
3543,Gujarat,2021,1,surendranagar district,806962,1725777307,TOTAL
3544,Gujarat,2021,1,morbi district,848276,2219169833,TOTAL
3545,Gujarat,2021,2,anand district,1711394,3014631898,TOTAL
3546,Gujarat,2021,2,jamnagar district,1155054,2206347099,TOTAL
3547,Gujarat,2021,2,devbhumi dwarka district,333279,738788439.1,TOTAL
3548,Gujarat,2021,2,rajkot district,2675842,5707346831,TOTAL
3549,Gujarat,2021,2,aravallis district,847681,1683647672,TOTAL
3550,Gujarat,2021,2,chhotaudepur district,275873,540185404.7,TOTAL
3551,Gujarat,2021,2,botad district,550313,1280565807,TOTAL
3552,Gujarat,2021,2,bharuch district,3937665,6464930553,TOTAL
3553,Gujarat,2021,2,bhavnagar district,1660432,3448497365,TOTAL
3554,Gujarat,2021,2,junagadh district,700286,1487953526,TOTAL
3555,Gujarat,2021,2,mahesana district,3118685,6292779692,TOTAL
3556,Gujarat,2021,2,the dangs district,105158,157878766.4,TOTAL
3557,Gujarat,2021,2,kheda district,1362561,2503386769,TOTAL
3558,Gujarat,2021,2,surat district,15230233,30756115156,TOTAL
3559,Gujarat,2021,2,porbandar district,227413,558446703.7,TOTAL
3560,Gujarat,2021,2,gandhinagar district,4552010,7835004938,TOTAL
3561,Gujarat,2021,2,panch mahals district,1214442,2245183337,TOTAL
3562,Gujarat,2021,2,narmada district,332174,534890391.7,TOTAL
3563,Gujarat,2021,2,gir somnath district,746122,1686621125,TOTAL
3564,Gujarat,2021,2,valsad district,3236626,5434041160,TOTAL
3565,Gujarat,2021,2,mahisagar district,364905,744153750.3,TOTAL
3566,Gujarat,2021,2,sabar kantha district,1659480,3248644724,TOTAL
3567,Gujarat,2021,2,tapi district,814911,1327829882,TOTAL
3568,Gujarat,2021,2,vadodara district,7847805,12902554422,TOTAL
3569,Gujarat,2021,2,banas kantha district,3648428,8286069196,TOTAL
3570,Gujarat,2021,2,amreli district,659562,1524494294,TOTAL
3571,Gujarat,2021,2,ahmadabad district,44173046,79437951666,TOTAL
3572,Gujarat,2021,2,dohad district,693945,1556292874,TOTAL
3573,Gujarat,2021,2,navsari district,1296111,2197674430,TOTAL
3574,Gujarat,2021,2,patan district,1384484,2811156126,TOTAL
3575,Gujarat,2021,2,kachchh district,3268191,7040086478,TOTAL
3576,Gujarat,2021,2,surendranagar district,1029627,2066433662,TOTAL
3577,Gujarat,2021,2,morbi district,1027658,2441470415,TOTAL
3578,Gujarat,2021,3,anand district,2268123,3900508554,TOTAL
3579,Gujarat,2021,3,jamnagar district,1546406,2841962055,TOTAL
3580,Gujarat,2021,3,devbhumi dwarka district,418822,960353473,TOTAL
3581,Gujarat,2021,3,rajkot district,3586356,7726777655,TOTAL
3582,Gujarat,2021,3,aravallis district,1072139,2034322150,TOTAL
3583,Gujarat,2021,3,chhotaudepur district,319271,611013838.1,TOTAL
3584,Gujarat,2021,3,botad district,775124,1847036989,TOTAL
3585,Gujarat,2021,3,bharuch district,5280607,8322570349,TOTAL
3586,Gujarat,2021,3,bhavnagar district,2001668,4470254984,TOTAL
3587,Gujarat,2021,3,junagadh district,833587,1786079501,TOTAL
3588,Gujarat,2021,3,mahesana district,4085272,8371811502,TOTAL
3589,Gujarat,2021,3,the dangs district,142421,220242754.9,TOTAL
3590,Gujarat,2021,3,kheda district,1748901,3172710753,TOTAL
3591,Gujarat,2021,3,surat district,21214459,40838608900,TOTAL
3592,Gujarat,2021,3,porbandar district,275154,690810567.6,TOTAL
3593,Gujarat,2021,3,gandhinagar district,6318239,10546315791,TOTAL
3594,Gujarat,2021,3,panch mahals district,1549556,2762752529,TOTAL
3595,Gujarat,2021,3,narmada district,446278,730606768.6,TOTAL
3596,Gujarat,2021,3,gir somnath district,912616,2047248879,TOTAL
3597,Gujarat,2021,3,valsad district,4434194,7173200940,TOTAL
3598,Gujarat,2021,3,mahisagar district,442046,893324969.9,TOTAL
3599,Gujarat,2021,3,sabar kantha district,2129127,3945628261,TOTAL
3600,Gujarat,2021,3,tapi district,1010949,1621047026,TOTAL
3601,Gujarat,2021,3,vadodara district,10555446,16336422911,TOTAL
3602,Gujarat,2021,3,banas kantha district,4877149,11302732745,TOTAL
3603,Gujarat,2021,3,amreli district,880856,2030095873,TOTAL
3604,Gujarat,2021,3,ahmadabad district,58611265,1.01761E+11,TOTAL
3605,Gujarat,2021,3,dohad district,924227,1953033067,TOTAL
3606,Gujarat,2021,3,navsari district,1703437,2845342547,TOTAL
3607,Gujarat,2021,3,patan district,1805160,3735782880,TOTAL
3608,Gujarat,2021,3,kachchh district,4378602,9001941153,TOTAL
3609,Gujarat,2021,3,surendranagar district,1292951,2671069363,TOTAL
3610,Gujarat,2021,3,morbi district,1407999,3472418252,TOTAL
3611,Gujarat,2021,4,anand district,2754485,4901381739,TOTAL
3612,Gujarat,2021,4,jamnagar district,1892202,3573928285,TOTAL
3613,Gujarat,2021,4,devbhumi dwarka district,508824,1236361451,TOTAL
3614,Gujarat,2021,4,rajkot district,4398724,9808446764,TOTAL
3615,Gujarat,2021,4,aravallis district,1389157,2813603552,TOTAL
3616,Gujarat,2021,4,chhotaudepur district,399985,776880205.8,TOTAL
3617,Gujarat,2021,4,botad district,981895,2347736166,TOTAL
3618,Gujarat,2021,4,bharuch district,6671068,10647007113,TOTAL
3619,Gujarat,2021,4,bhavnagar district,2503192,5912161062,TOTAL
3620,Gujarat,2021,4,junagadh district,1067289,2439626368,TOTAL
3621,Gujarat,2021,4,mahesana district,5022604,10719744657,TOTAL
3622,Gujarat,2021,4,the dangs district,175673,266936831.3,TOTAL
3623,Gujarat,2021,4,kheda district,2115182,3982871288,TOTAL
3624,Gujarat,2021,4,surat district,26358525,51244301661,TOTAL
3625,Gujarat,2021,4,porbandar district,334768,922030259.9,TOTAL
3626,Gujarat,2021,4,gandhinagar district,7658806,13063535936,TOTAL
3627,Gujarat,2021,4,panch mahals district,1950412,3527540821,TOTAL
3628,Gujarat,2021,4,narmada district,547754,905726392.7,TOTAL
3629,Gujarat,2021,4,gir somnath district,1171670,2747773642,TOTAL
3630,Gujarat,2021,4,valsad district,5798487,9554286593,TOTAL
3631,Gujarat,2021,4,mahisagar district,559971,1204459444,TOTAL
3632,Gujarat,2021,4,sabar kantha district,2653416,5247467975,TOTAL
3633,Gujarat,2021,4,tapi district,1283905,2146758330,TOTAL
3634,Gujarat,2021,4,vadodara district,12675332,20051547593,TOTAL
3635,Gujarat,2021,4,banas kantha district,6396725,14662295530,TOTAL
3636,Gujarat,2021,4,amreli district,1108699,2596504411,TOTAL
3637,Gujarat,2021,4,ahmadabad district,70075885,1.24559E+11,TOTAL
3638,Gujarat,2021,4,dohad district,1212646,2565405628,TOTAL
3639,Gujarat,2021,4,navsari district,2220944,3782948232,TOTAL
3640,Gujarat,2021,4,patan district,2293931,4836124445,TOTAL
3641,Gujarat,2021,4,kachchh district,5470337,11281039516,TOTAL
3642,Gujarat,2021,4,surendranagar district,1571774,3524100667,TOTAL
3643,Gujarat,2021,4,morbi district,1763058,4532702026,TOTAL
3644,Gujarat,2022,1,anand district,3048076,5515844714,TOTAL
3645,Gujarat,2022,1,jamnagar district,2155185,3995387220,TOTAL
3646,Gujarat,2022,1,devbhumi dwarka district,577554,1393188002,TOTAL
3647,Gujarat,2022,1,rajkot district,5044420,11183107357,TOTAL
3648,Gujarat,2022,1,aravallis district,1603295,3245867370,TOTAL
3649,Gujarat,2022,1,chhotaudepur district,469160,961037555.5,TOTAL
3650,Gujarat,2022,1,botad district,1089654,2529006397,TOTAL
3651,Gujarat,2022,1,bharuch district,7704075,12142511078,TOTAL
3652,Gujarat,2022,1,bhavnagar district,2733486,6507151537,TOTAL
3653,Gujarat,2022,1,junagadh district,1159000,2632740613,TOTAL
3654,Gujarat,2022,1,mahesana district,5772191,12148997855,TOTAL
3655,Gujarat,2022,1,the dangs district,199292,319930741.7,TOTAL
3656,Gujarat,2022,1,kheda district,2392631,4653031406,TOTAL
3657,Gujarat,2022,1,surat district,31199368,60384509134,TOTAL
3658,Gujarat,2022,1,porbandar district,368108,1041885112,TOTAL
3659,Gujarat,2022,1,gandhinagar district,8605006,14673670632,TOTAL
3660,Gujarat,2022,1,panch mahals district,2317566,4354464950,TOTAL
3661,Gujarat,2022,1,narmada district,590661,1028206703,TOTAL
3662,Gujarat,2022,1,gir somnath district,1311753,3149910594,TOTAL
3663,Gujarat,2022,1,valsad district,6673719,11065186874,TOTAL
3664,Gujarat,2022,1,mahisagar district,634329,1400068532,TOTAL
3665,Gujarat,2022,1,sabar kantha district,3018096,5899494955,TOTAL
3666,Gujarat,2022,1,tapi district,1479525,2625677244,TOTAL
3667,Gujarat,2022,1,vadodara district,14343830,22232541229,TOTAL
3668,Gujarat,2022,1,banas kantha district,7973644,18279879154,TOTAL
3669,Gujarat,2022,1,amreli district,1139593,2619535837,TOTAL
3670,Gujarat,2022,1,ahmadabad district,79952986,1.40746E+11,TOTAL
3671,Gujarat,2022,1,dohad district,1492215,3303671730,TOTAL
3672,Gujarat,2022,1,navsari district,2558811,4448236738,TOTAL
3673,Gujarat,2022,1,patan district,2676329,5505990583,TOTAL
3674,Gujarat,2022,1,kachchh district,6493295,13234467234,TOTAL
3675,Gujarat,2022,1,surendranagar district,1770045,4155739567,TOTAL
3676,Gujarat,2022,1,morbi district,2000248,5171017148,TOTAL
3677,Gujarat,2022,2,anand district,3366969,5980713687,TOTAL
3678,Gujarat,2022,2,jamnagar district,2577307,4428726323,TOTAL
3679,Gujarat,2022,2,devbhumi dwarka district,699907,1553973410,TOTAL
3680,Gujarat,2022,2,rajkot district,6063252,12629937170,TOTAL
3681,Gujarat,2022,2,aravallis district,1985375,3936343254,TOTAL
3682,Gujarat,2022,2,chhotaudepur district,554481,1118837886,TOTAL
3683,Gujarat,2022,2,botad district,1319494,2481012651,TOTAL
3684,Gujarat,2022,2,bharuch district,8898927,13524403307,TOTAL
3685,Gujarat,2022,2,bhavnagar district,3280598,7203081678,TOTAL
3686,Gujarat,2022,2,junagadh district,1303634,2870016920,TOTAL
3687,Gujarat,2022,2,mahesana district,6831581,13686497406,TOTAL
3688,Gujarat,2022,2,the dangs district,242942,386904516.3,TOTAL
3689,Gujarat,2022,2,kheda district,2804743,5136552729,TOTAL
3690,Gujarat,2022,2,surat district,37371820,68525386888,TOTAL
3691,Gujarat,2022,2,porbandar district,451806,1247309372,TOTAL
3692,Gujarat,2022,2,gandhinagar district,10158506,16650584409,TOTAL
3693,Gujarat,2022,2,panch mahals district,2768107,4913162125,TOTAL
3694,Gujarat,2022,2,narmada district,728214,1199594622,TOTAL
3695,Gujarat,2022,2,gir somnath district,1593762,3597900919,TOTAL
3696,Gujarat,2022,2,valsad district,8033358,12554813235,TOTAL
3697,Gujarat,2022,2,mahisagar district,787617,1679677472,TOTAL
3698,Gujarat,2022,2,sabar kantha district,3593785,6977672566,TOTAL
3699,Gujarat,2022,2,tapi district,1783511,3029292345,TOTAL
3700,Gujarat,2022,2,vadodara district,16566055,24927078678,TOTAL
3701,Gujarat,2022,2,banas kantha district,9732655,20605533611,TOTAL
3702,Gujarat,2022,2,amreli district,1320163,2813019600,TOTAL
3703,Gujarat,2022,2,ahmadabad district,96453555,1.61506E+11,TOTAL
3704,Gujarat,2022,2,dohad district,1809814,3896428798,TOTAL
3705,Gujarat,2022,2,navsari district,3327016,5310124254,TOTAL
3706,Gujarat,2022,2,patan district,3116746,6276857246,TOTAL
3707,Gujarat,2022,2,kachchh district,7934471,15334005512,TOTAL
3708,Gujarat,2022,2,surendranagar district,2087742,4713415151,TOTAL
3709,Gujarat,2022,2,morbi district,2504883,6103036588,TOTAL
3710,Gujarat,2022,3,anand district,3910410,6469350595,TOTAL
3711,Gujarat,2022,3,jamnagar district,3714625,5733544044,TOTAL
3712,Gujarat,2022,3,devbhumi dwarka district,918151,1779143513,TOTAL
3713,Gujarat,2022,3,rajkot district,8053297,15206611341,TOTAL
3714,Gujarat,2022,3,aravallis district,2236769,3920741953,TOTAL
3715,Gujarat,2022,3,chhotaudepur district,545300,995504884.8,TOTAL
3716,Gujarat,2022,3,botad district,1433437,2591773864,TOTAL
3717,Gujarat,2022,3,bharuch district,11270803,15949022078,TOTAL
3718,Gujarat,2022,3,bhavnagar district,4568839,9041452291,TOTAL
3719,Gujarat,2022,3,junagadh district,1537367,3043926125,TOTAL
3720,Gujarat,2022,3,mahesana district,6403784,12429803357,TOTAL
3721,Gujarat,2022,3,the dangs district,254111,381893547.7,TOTAL
3722,Gujarat,2022,3,kheda district,3591066,5933588858,TOTAL
3723,Gujarat,2022,3,surat district,46500453,78304481289,TOTAL
3724,Gujarat,2022,3,porbandar district,578802,1357830611,TOTAL
3725,Gujarat,2022,3,gandhinagar district,10879868,17098915693,TOTAL
3726,Gujarat,2022,3,panch mahals district,2823294,4508411918,TOTAL
3727,Gujarat,2022,3,narmada district,723343,1114771649,TOTAL
3728,Gujarat,2022,3,gir somnath district,1406104,3027458849,TOTAL
3729,Gujarat,2022,3,valsad district,9633288,13905599409,TOTAL
3730,Gujarat,2022,3,mahisagar district,1122900,1986607332,TOTAL
3731,Gujarat,2022,3,sabar kantha district,3760015,6565494235,TOTAL
3732,Gujarat,2022,3,tapi district,1473584,2258710020,TOTAL
3733,Gujarat,2022,3,vadodara district,23318716,32733106035,TOTAL
3734,Gujarat,2022,3,banas kantha district,11035119,22401495022,TOTAL
3735,Gujarat,2022,3,amreli district,1325138,2656525027,TOTAL
3736,Gujarat,2022,3,ahmadabad district,117574996,1.84255E+11,TOTAL
3737,Gujarat,2022,3,dohad district,2182542,3862273582,TOTAL
3738,Gujarat,2022,3,navsari district,2421727,3829182730,TOTAL
3739,Gujarat,2022,3,patan district,3407916,6332131544,TOTAL
3740,Gujarat,2022,3,kachchh district,9375781,16533683640,TOTAL
3741,Gujarat,2022,3,surendranagar district,2522750,5153708092,TOTAL
3742,Gujarat,2022,3,morbi district,2735437,6075514371,TOTAL
3743,Gujarat,2022,4,anand district,4351503,7433779371,TOTAL
3744,Gujarat,2022,4,jamnagar district,4945374,7625464587,TOTAL
3745,Gujarat,2022,4,devbhumi dwarka district,910863,1848097499,TOTAL
3746,Gujarat,2022,4,rajkot district,9260831,17834314869,TOTAL
3747,Gujarat,2022,4,aravallis district,2532438,4651225998,TOTAL
3748,Gujarat,2022,4,chhotaudepur district,640222,1199597590,TOTAL
3749,Gujarat,2022,4,botad district,1634212,3051272765,TOTAL
3750,Gujarat,2022,4,bharuch district,15879527,22486941030,TOTAL
3751,Gujarat,2022,4,bhavnagar district,5089277,10905403198,TOTAL
